1997I,1.137,Knop2003,Hook2005,0.172,Hook2005,20.34,0.01,Knop2003,?,?,?,0.026,Sbc,0.222,?,NED,0.026,0.064,Knop2003,?,?,?,?,?,?
1997J,1.07,Goldhaber2001,Hook2005,0.619,Hook2005,?,?,?,?,?,?,?,0.166,?,NED,?,?,?,?,?,?,?,?,?,?
1997N,0.947,Knop2003,Hook2005,0.180,Hook2005,20.38,0.02,Knop2003,?,?,?,0.038,?,0.133,?,NED,0,0.123,Knop2003,?,?,?,?,?,?
1997R,1.195,Knop2003,Hook2005,0.657,Hook2005,23.89,0.05,Knop2003,?,?,?,0.163,?,0.129,?,NED,0.032,0.222,Knop2003,?,?,?,?,?,?
1997S,0.77,Goldhaber2001,Hook2005,0.612,Hook2005,?,?,?,?,?,?,?,0.143,?,NED,?,?,?,?,?,?,?,?,?,?
1997ac,0.957,Knop2003,Hook2005,0.323,Hook2005,21.87,0.02,Knop2003,?,?,?,0.038,?,0.118,?,NED,0.063,0.065,Knop2003,?,?,?,?,?,?
1997af,1.416,Knop2003,Hook2005,0.579,Hook2005,23.60,0.07,Knop2003,?,?,?,0.170,?,0.123,?,NED,0,0.265,Knop2003,?,?,?,?,?,?
1997ag,?,?,Hook2005,0.592,Hook2005,?,?,?,?,?,?,?,0.125,?,NED,?,?,?,?,?,?,?,?,?,?
1997ai,1.597,Knop2003,LifanWang,0.450,2001ApJ...558..359G,22.94,0.05,Knop2003,?,?,?,0.368,?,0.195,0.045,NED,0.026,0.142,Knop2003,?,?,?,?,?,?
1997aj,1.180,Knop2003,Hook2005,0.581,Hook2005,23.24,0.07,Knop2003,?,?,?,0.122,?,0.143,0.033,NED,0,0.193,Knop2003,?,?,?,?,?,?
1997am,1.009,Knop2003,Hook2005,0.416,Hook2005,22.58,0.08,Knop2003,?,?,?,0.122,?,0.155,?,NED,0,0.119,Knop2003,?,?,?,?,?,?
1997ap,1.026,Knop2003,Hook2005,0.831,Hook2005,24.35,0.07,Knop2003,?,?,?,0.092,?,0.113,?,NED,0.155,0.118,Knop2003,?,?,?,?,?,?
1997bp,1.2312089,LifanWang,LifanWang,0.00944,LifanWang2006,13.89,0.07,XWang2006,13.761,0.026,LifanWang2006,0.013063135,?,0.191,0.044,NED,0.28,0.07,XWang2009,0.000083,?,?,?,?,?
1997bq,1.1737058,LifanWang,LifanWang,0.00960,LifanWang2006,14.44,0.11,XWang2006,14.342,0.024,LifanWang2006,0.021763607,SA(rs)bc,0.104,0.024,NED,0.19,0.04,XWang2006,?,?,?,?,?,?
1997br,1.141,LifanWang,LifanWang,0.00630,LifanWang2006,13.61,0.10,XWang2006,13.418,0.028,LifanWang2006,0.010752432,SBd pec,0.489,0.113,NED,0.36,0.04,XWang2006,?,0.369,0.098,0.200,0.027,Arsenijevic2011
1997cn,2.2749481,LifanWang,LifanWang,0.01699,NEDhost,16.89,0.15,Xwang2006,16.385211,0.16964556,LifanWang,0.15414690,E,0.117,0.027,NED,0.01,0.06,XWang2006,?,-0.550,0.116,0.777,0.030,Arsenijevic2011
1997do,1.0993624,LifanWang,Matheson2008,0.01047,NEDhost,14.32,0.11,XWang2006,14.46,0,Jha2006,0.23748092,SB(s)bc,0.270,0.063,NED,0.14,0.07,XWang2009,0.000033,-0.212,0.252,0.135,0.017,Hicken2009
